last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Cole, Taylor, Taylor Cole,2018,36,11,
Descalso, Daniel, Daniel Descalso,2018,3.1,3,
Diekman, Jake, Jake Diekman,2018,53.1,28,
Duffy, Danny, Danny Duffy,2018,155,84,
Freeman, Sam, Sam Freeman,2018,50.1,24,
Gearrin, Cory, Cory Gearrin,2018,57.1,24,
Grimm, Justin, Justin Grimm,2018,17.1,20,
Harvey, Matt, Matt Harvey,2018,155,85,
Holland, Greg, Greg Holland,2018,46.1,24,
Jones, Nate, Nate Jones,2018,30,10,
Kelley, Shawn, Shawn Kelley,2018,49,16,
Kiekhefer, Dean, Dean Kiekhefer,2018,2,4,
Kimbrel, Craig, Craig Kimbrel,2018,62.1,19,
McFarland, T.J., T.J. McFarland,2018,72,16,
Moore, Matt, Matt Moore,2018,102,77,
Otero, Dan, Dan Otero,2018,58.2,34,
Pomeranz, Drew, Drew Pomeranz,2018,74,50,
Porcello, Rick, Rick Porcello,2018,191.1,91,
Pressly, Ryan, Ryan Pressly,2018,71,20,
Ramirez, Neil, Neil Ramirez,2018,41.2,21,
Rzepczynski, Marc, Marc Rzepczynski,2018,10.1,8,
Sale, Chris, Chris Sale,2018,158,37,
Smith, Will, Will Smith,2018,53,15,
Smoker, Josh, Josh Smoker,2018,7.1,7,
Solis, Sammy, Sammy Solis,2018,39.1,28,
Strickland, Hunter, Hunter Strickland,2018,45.1,20,
Venditte, Pat, Pat Venditte,2018,14,4,
Venditte, Pat, Pat Venditte,2018,14,4,
Venditte, Pat, Pat Venditte,2018,14,4,
Venditte, Pat, Pat Venditte,2018,14,4,
Walden, Marcus, Marcus Walden,2018,14.2,6,
Workman, Brandon, Brandon Workman,2018,41.1,15,
Zimmermann, Jordan, Jordan Zimmermann,2018,131.1,66,
Baez, Pedro, Pedro Baez,2018,56.1,18,
Hendriks, Liam, Liam Hendriks,2018,24,11,
Font, Wilmer, Wilmer Font,2018,44,29,
Kelly, Joe, Joe Kelly,2018,65.2,32,
Collins, Tim, Tim Collins,2018,22.2,11,
Perez, Martin, Martin Perez,2018,85.1,59,
Teheran, Julio, Julio Teheran,2018,175.2,77,
Vizcaino, Arodys, Arodys Vizcaino,2018,38.1,9,
Osuna, Roberto, Roberto Osuna,2018,38,10,
Shoemaker, Matt, Matt Shoemaker,2018,31,17,
Quackenbush, Kevin, Kevin Quackenbush,2018,9,11,
Ramirez, Erasmo, Erasmo Ramirez,2018,45.2,33,
Perez, Hernan, Hernan Perez,2018,3.1,5,
Rondon, Bruce, Bruce Rondon,2018,29.2,28,
Corcino, Daniel, Daniel Corcino,2018,4,1,
Ramirez, Jose, Jose Ramirez,2018,6.1,12,
Anderson, Tyler, Tyler Anderson,2018,176,89,
Andriese, Matt, Matt Andriese,2018,78.2,46,
Armstrong, Shawn, Shawn Armstrong,2018,14.2,2,
Bass, Anthony, Anthony Bass,2018,15.1,5,
Beliveau, Jeff, Jeff Beliveau,2018,4.2,6,
Bleier, Richard, Richard Bleier,2018,32.2,7,
Brach, Brad, Brad Brach,2018,62.2,25,
Carpenter, Ryan, Ryan Carpenter,2018,22.1,18,
Chatwood, Tyler, Tyler Chatwood,2018,103.2,61,
Cloyd, Tyler, Tyler Cloyd,2018,17.2,17,
Cole, Gerrit, Gerrit Cole,2018,200.1,64,
Conley, Adam, Adam Conley,2018,50.2,23,
Coulombe, Danny, Danny Coulombe,2018,23.2,12,
DeSclafani, Anthony, Anthony DeSclafani,2018,115,63,
Drake, Oliver, Oliver Drake,2018,47.2,28,
Eovaldi, Nathan, Nathan Eovaldi,2018,111,47,
Farquhar, Danny, Danny Farquhar,2018,8,5,
Flynn, Brian, Brian Flynn,2018,75.2,34,
Gagnon, Drew, Drew Gagnon,2018,12,7,
Gaviglio, Sam, Sam Gaviglio,2018,123.2,73,
Gilmartin, Sean, Sean Gilmartin,2018,27,9,
Gray, Sonny, Sonny Gray,2018,130.1,71,
Guilmet, Preston, Preston Guilmet,2018,10,13,
Hand, Brad, Brad Hand,2018,72,22,
Hardy, Blaine, Blaine Hardy,2018,86,34,
Hendricks, Kyle, Kyle Hendricks,2018,199,76,
Hoover, J.J., J.J. Hoover,2018,1.1,3,
Hudson, Daniel, Daniel Hudson,2018,46,21,
Jennings, Dan, Dan Jennings,2018,64.1,23,
Kelly, Casey, Casey Kelly,2018,23.2,8,
Lamb, John, John Lamb,2018,10,8,
Lyles, Jordan, Jordan Lyles,2018,87.2,40,
Magill, Matt, Matt Magill,2018,56.2,24,
Maurer, Brandon, Brandon Maurer,2018,31.1,27,
May, Trevor, Trevor May,2018,25.1,9,
Mazzoni, Cory, Cory Mazzoni,2018,8.2,1,
McHugh, Collin, Collin McHugh,2018,72.1,16,
Milone, Tommy, Tommy Milone,2018,26.1,17,
Montgomery, Mike, Mike Montgomery,2018,124,55,
Odorizzi, Jake, Jake Odorizzi,2018,164.1,82,
Roark, Tanner, Tanner Roark,2018,180.1,87,
Rusin, Chris, Chris Rusin,2018,54.2,37,
Scahill, Rob, Rob Scahill,2018,5,3,
Shaw, Bryan, Bryan Shaw,2018,54.2,36,
Vincent, Nick, Nick Vincent,2018,56.1,25,
Weber, Ryan, Ryan Weber,2018,5.1,3,
Webster, Allen, Allen Webster,2018,3,2,
Wilson, Alex, Alex Wilson,2018,61.2,23,
Familia, Jeurys, Jeurys Familia,2018,72,25,
Romero, Enny, Enny Romero,2018,10,14,
Lyons, Tyler, Tyler Lyons,2018,16.2,16,
Strasburg, Stephen, Stephen Strasburg,2018,130,54,
Barrett, Jake, Jake Barrett,2018,7,4,
Bauer, Trevor, Trevor Bauer,2018,175.1,43,
Turner, Jacob, Jacob Turner,2018,6.2,15,
Whalen, Rob, Rob Whalen,2018,4,0,
Lorenzen, Michael, Michael Lorenzen,2018,81,28,
Tazawa, Junichi, Junichi Tazawa,2018,28,22,
Tanaka, Masahiro, Masahiro Tanaka,2018,156,65,
Ryu, Hyun-Jin, Hyun-Jin Ryu,2018,82.1,18,
Chapman, Aroldis, Aroldis Chapman,2018,51.1,14,
Bergman, Christian, Christian Bergman,2018,14,9,
Stripling, Ross, Ross Stripling,2018,122,41,
Kittredge, Andrew, Andrew Kittredge,2018,38.1,33,
Vazquez, Felipe, Felipe Vazquez,2018,70,21,
Garcia, Yimi, Yimi Garcia,2018,22.1,14,
Wheeler, Zack, Zack Wheeler,2018,182.1,67,
Pena, Felix, Felix Pena,2018,92.2,43,
Urena, Jose, Jose Urena,2018,174,77,
Robles, Hansel, Hansel Robles,2018,56,23,
Cessa, Luis, Luis Cessa,2018,44.2,26,
Ramirez, Carlos, Carlos Ramirez,2018,8.1,3,
