last_name, first_name,year,on_base_plus_slg,
Blash, Jabari,2018,.328,
Bumgarner, Madison,2018,.378,
Centeno, Juan,2018,.454,
Culberson, Charlie,2018,.792,
d'Arnaud, Travis,2018,.650,
Descalso, Daniel,2018,.788,
Dietrich, Derek,2018,.751,
Donaldson, Josh,2018,.801,
Freeman, Freddie,2018,.892,
Grandal, Yasmani,2018,.815,
Harvey, Matt,2018,.181,
Heyward, Jason,2018,.729,
Kozma, Pete,2018,.581,
LeMahieu, DJ,2018,.748,
Lucroy, Jonathan,2018,.616,
Mesoraco, Devin,2018,.700,
Moreland, Mitch,2018,.758,
Moustakas, Mike,2018,.774,
Rizzo, Anthony,2018,.846,
Romine, Austin,2018,.712,
Smolinski, Jake,2018,.376,
Sogard, Eric,2018,.404,
Souza Jr., Steven,2018,.678,
Stanton, Giancarlo,2018,.852,
Szczur, Matt,2018,.529,
Thames, Eric,2018,.783,
Galvis, Freddy,2018,.679,
Perez, Salvador,2018,.713,
Forsythe, Logan,2018,.604,
Flores, Wilmer,2018,.736,
Marte, Jefry,2018,.644,
Teheran, Julio,2018,.398,
LaMarre, Ryan,2018,.704,
Garcia, Avisail,2018,.719,
Perez, Hernan,2018,.676,
Perez, Carlos,2018,.388,
Inciarte, Ender,2018,.703,
Ozuna, Marcell,2018,.758,
Villar, Jonathan,2018,.708,
Ortega, Rafael,2018,.557,
Santana, Danny,2018,.567,
Telis, Tomas,2018,.499,
Aguilar, Jesus,2018,.890,
Anderson, Tyler,2018,.250,
Bandy, Jett,2018,.533,
Beckham, Tim,2018,.660,
Berti, Jon,2018,.733,
Broxton, Keon,2018,.691,
Chatwood, Tyler,2018,.316,
Crawford, Brandon,2018,.719,
Cron, C.J.,2018,.816,
DeSclafani, Anthony,2018,.345,
Eovaldi, Nathan,2018,.311,
Federowicz, Tim,2018,.662,
Galloway, Isaac,2018,.688,
Gomes, Yan,2018,.762,
Grossman, Robbie,2018,.749,
Harrison, Josh,2018,.655,
Hendricks, Kyle,2018,.174,
Herrmann, Chris,2018,.743,
Hicks, Aaron,2018,.832,
Hicks, John,2018,.714,
Higashioka, Kyle,2018,.560,
Hosmer, Eric,2018,.720,
Joseph, Caleb,2018,.574,
Joseph, Corban,2018,.541,
Kipnis, Jason,2018,.703,
Lyles, Jordan,2018,.150,
